"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"718001488217194429","0.41463","100","{""wifi"": 2, ""maintenance"": 1, ""noise"": 1}","wifi","2.0","El piso respondió a lo que anunciaban: 2 habitaciones espaciosas con camas cómodas y armarios amplios con suficientes perchas, el baño muy bien, salón amplio con la cocina integrada (cafetera, vajilla, etc.) y buena wifi (mis hijos no se quejaron que es la mejor prueba).","{""wifi"": ""El piso respondi\u00f3 a lo que anunciaban: 2 habitaciones espaciosas con camas c\u00f3modas y armarios amplios con suficientes perchas, el ba\u00f1o muy bien, sal\u00f3n amplio con la cocina integrada (cafetera, vajilla, etc.) y buena wifi (mis hijos no se quejaron que es la mejor prueba)."", ""maintenance"": ""Las llaves las dejan en un Locker a varias calles del apartamento."", ""noise"": ""We never hear any noise from the outside.""}"
"718030025511072675","0.10097356321839081","87","{""wifi"": 1}","wifi","1.0","El alojamiento es muy práctico, cómodo, una cama con aire y calefacción incluidos, una tele y wifi para matar el tiempo si no hay nada que hacer o en mi caso, tenía que tomar ratos para estudiar.","{""wifi"": ""El alojamiento es muy pr\u00e1ctico, c\u00f3modo, una cama con aire y calefacci\u00f3n incluidos, una tele y wifi para matar el tiempo si no hay nada que hacer o en mi caso, ten\u00eda que tomar ratos para estudiar.""}"
"718045039094139137","0.19090119521912352","251","{""cleanliness"": 1}","cleanliness","1.0","Enchufes rotos, paredes sucias, cacerolas muy deterioradas y quemadas, la ventana exterior no cierra bien y entra frio y aire, uno de los stores roto, contraventana no cierra, la ducha pierde agua, en el espacio para colgar la ropa esta el termo y tiene un gran agujero en la pared por el que entra o","{""cleanliness"": ""Enchufes rotos, paredes sucias, cacerolas muy deterioradas y quemadas, la ventana exterior no cierra bien y entra frio y aire, uno de los stores roto, contraventana no cierra, la ducha pierde agua, en el espacio para colgar la ropa esta el termo y tiene un gran agujero en la pared por el que entra o""}"
"718045553881223691","0.1617854961832061","262","{""maintenance"": 2, ""cleanliness"": 1}","maintenance","2.0","The bathroom was broken and you don't have the privacy to use the toilet.","{""maintenance"": ""The bathroom was broken and you don't have the privacy to use the toilet."", ""cleanliness"": ""The room wasn\u2019t even as clean as possible as there was dust on the floor and some hair on the corner of the floor.""}"
"718729361194163882","0.18309","10","","","","",""
"719327439636389768","0.0934","4","","","","",""
"719370165149674464","0.17544782608695653","115","","","","",""
"719403046414859943","0.41236818181818186","22","{""maintenance"": 1}","maintenance","1.0","So, for me, only thing I would change is the roller shades over the glass block areas of the walls could block more light.","{""maintenance"": ""So, for me, only thing I would change is the roller shades over the glass block areas of the walls could block more light.""}"
"719411602550281693","0.16440350877192983","57","{""cleanliness"": 1, ""maintenance"": 2, ""noise"": 1}","maintenance","2.0","Also no toilet paper so we had to buy our own.","{""cleanliness"": ""Not sure if it was dusty or just dirty but when barefoot it felt very dirty."", ""maintenance"": ""Also no toilet paper so we had to buy our own."", ""noise"": ""Fortunately there wasn't too much noise at night.""}"
"719414812945643582","0.4175133333333333","15","","","","",""
"719538400261629646","0.5393380952380953","21","","","","",""
